x_Br,z_Ge,composition,Eg_eV,Ehull_proxy_eV_atom,Eox_proxy_eV_per_Sn,tolerance_factor,S_gap_single,S_hull,S_ox,S_strain,Score_single,Score_tandem,Rank_single,Rank_tandem,P_top1_single,P_top5_single,P_top10_single,P_top20_single,mean_rank_single,P_top1_tandem,P_top5_tandem,P_top10_tandem,P_top20_tandem,mean_rank_tandem,P_top1_descriptor_stress,P_top10_descriptor_stress,mean_rank_descriptor_stress
0.35,0.1,CsSn0.90Ge0.10(I0.65Br0.35)3,1.491675,0.01046666,-1.2539710000000002,0.8691475538669465,0.5997580147367749,0.7054716684103332,0.3219554812447471,0.9934842024270268,0.606531145149451,0.5415611999384824,72,177,0.0,0.0,0.0,0.0,77.9493,0.0,0.0,0.0,0.0,171.3117,0.0,0.0,72.9342
0.4,0.1,CsSn0.90Ge0.10(I0.60Br0.40)3,1.5148000000000004,0.01044444,-1.2564440000000001,0.8697478901658554,0.507123411974341,0.7059943813135181,0.32036702093505276,0.993580293798823,0.5810204513419436,0.5690600453853738,83,166,0.0,0.0,0.0,0.0,86.8089,0.0,0.0,0.0,0.0,161.6638,0.0,0.0,82.564
0.45,0.1,CsSn0.90Ge0.10(I0.55Br0.45)3,1.538575,0.010422220000000001,-1.2589170000000003,0.8703526913148331,0.41633404538986113,0.7065174815161388,0.31878639775285716,0.993676384964363,0.5524937855183442,0.5951075737354794,91,156,0.0,0.0,0.0,0.0,95.9811,0.0,0.0,0.0,0.0,151.8514,0.0,0.0,91.909
0.5,0.1,CsSn0.90Ge0.10(I0.50Br0.50)3,1.563,0.010400000000000001,-1.26139,0.8709620073090911,0.33118144258311966,0.7070409693051614,0.3172135730314297,0.9937724676744378,0.5212395052102413,0.6190646061335875,101,142,0.0,0.0,0.0,0.0,105.3074,0.0,0.0,0.0,0.0,142.2644,0.0,0.0,101.122
0.55,0.1,CsSn0.90Ge0.10(I0.45Br0.55)3,1.5880750000000001,0.01037778,-1.2638630000000002,0.8715758888930657,0.2547220451815549,0.7075648449677645,0.31564850829481245,0.9938685334305738,0.48763106562900965,0.6402502444450757,109,126,0.0,0.0,0.0,0.0,114.7056,0.0,0.0,0.0,0.0007,133.2234,0.0,0.0,110.4898
0.6,0.1,CsSn0.90Ge0.10(I0.40Br0.60)3,1.6138000000000001,0.01035556,-1.2663360000000001,0.8721943875745067,0.18901651460282287,0.7080891087913396,0.3140911652568805,0.9939645734779751,0.452119847984995,0.6579620764535805,119,114,0.0,0.0,0.0,0.0,124.1451,0.0,0.0,0.0,0.0017,125.2262,0.0,0.0,120.0594
0.65,0.1,CsSn0.90Ge0.10(I0.35Br0.65)3,1.6401750000000002,0.010333340000000002,-1.268809,0.8728175556388839,0.13501977714690908,0.708613761063491,0.3125415058204042,0.9940605787982544,0.41522345720481313,0.6715018872202075,129,107,0.0,0.0,0.0,0.0,133.6354,0.0,0.0,0.0,0.0022,119.042,0.0,0.0,129.7902
0.7,0.1,CsSn0.90Ge0.10(I0.30Br0.70)3,1.6671999999999998,0.01031112,-1.2712820000000002,0.8734454461641219,0.09263321062632103,0.7091388020720364,0.31099949207611743,0.9941565401019432,0.37750969110655064,0.6802063718658551,137,101,0.0,0.0,0.0,0.0,143.1854,0.0,0.0,0.0,0.0029,115.008,0.0,0.0,139.689
0.75,0.1,CsSn0.90Ge0.10(I0.25Br0.75)3,1.694875,0.0102889,-1.273755,0.8740781130356687,0.06089625011943667,0.7096642321050063,0.30946508630179104,0.9942524478207745,0.3395767510472156,0.6834817754781559,148,96,0.0,0.0,0.0,0.0,152.8272,0.0,0.0,0.0,0.0049,113.6142,0.0,0.0,149.714
0.8,0.1,CsSn0.90Ge0.10(I0.20Br0.80)3,1.7232000000000003,0.010266679999999999,-1.2762280000000001,0.8747156109619143,0.038267248128334916,0.710190051450645,0.30793825096130845,0.9943482920997309,0.3020306358026604,0.6808407661805022,157,100,0.0,0.0,0.0,0.0,162.5749,0.0,0.0,0.0,0.0056,115.1551,0.0,0.0,159.8392
