x_Br,z_Ge,Eg_eV,Ehull_proxy_eV_atom,Eox_proxy_eV_Sn,t,SJ_score,Tandem_score,pareto_single,pareto_tandem
0.6,0.4,1.7908,0.0069222144,-0.84433456,0.9107239171303176,0.28207730674281234,0.8332895416231708,False,False
0.6,0.45,1.8203,0.0063499912,-0.7740013800000001,0.9174789156915282,0.252053304369186,0.8378512597678431,False,False
0.6,0.5,1.8498,0.005777768,-0.7036682000000001,0.9243348690635174,0.2230529191002828,0.8343133478906438,True,True
0.65,0.0,1.579425,0.011474999999999999,-1.40975,0.860634928466505,0.45964651411844704,0.5829828368241006,False,False
0.65,0.05,1.6098000000000001,0.0109041657,-1.3392779300000002,0.8666834325709861,0.4391232527566677,0.6289049495306613,False,False
0.65,0.1,1.6401750000000002,0.0103333314,-1.26880586,0.8728175556388839,0.4152314053498932,0.6715147410085198,False,False
0.65,0.15,1.6705500000000002,0.0097624971,-1.1983337900000002,0.8790391285841953,0.3886287559089353,0.7096873585181439,False,False
0.65,0.2,1.7009250000000002,0.0091916628,-1.12786172,0.8853500348998125,0.36001477454581043,0.7423679954851526,False,False
0.65,0.25,1.7313,0.0086208285,-1.05738965,0.891752212558577,0.3301003810066944,0.7686200722078312,False,False
0.65,0.3,1.761675,0.0080499942,-0.9869175800000001,0.8982476559974142,0.2995792152487916,0.7876697273197519,False,False
0.65,0.35,1.7920500000000001,0.0074791599,-0.9164455100000001,0.9048384181888186,0.26910198984285433,0.7989436775794078,False,False
0.65,0.4,1.822425,0.006908325599999999,-0.84597344,0.9115266128042091,0.239255166610794,0.8020978638151985,False,False
0.65,0.45,1.8528000000000002,0.0063374912999999995,-0.7755013700000001,0.9183144164739409,0.2105447985530676,0.7970348865843376,False,False
0.65,0.5,1.8831749999999998,0.005766656999999999,-0.7050293000000001,0.9252040711490538,0.18338594864408755,0.7839089990616555,True,True
0.7,0.0,1.6046999999999998,0.01145,-1.4125,0.8612085080951974,0.42774579170025645,0.6002396994381612,False,False
0.7,0.05,1.6359499999999998,0.0108805546,-1.34188904,0.8672838150185841,0.404036553906365,0.6424605112777949,False,False
0.7,0.1,1.6671999999999998,0.0103111092,-1.27127808,0.8734454461641219,0.3775170714931549,0.6802196700304143,False,False
0.7,0.15,1.69845,0.0097416638,-1.20066712,0.8796952545720381,0.3489259251378722,0.7124143189353155,False,False
0.7,0.2,1.7297,0.009172218400000001,-1.13005616,0.8860351467014009,0.31901437677657496,0.738068154077068,False,False
0.7,0.25,1.76095,0.008602773000000001,-1.0594452,0.8924670843690188,0.28851427005812114,0.7563804933614364,False,False
0.7,0.3,1.7922,0.008033327600000001,-0.9888342400000001,0.8989930867734071,0.2581095086831101,0.7667677459693301,False,False
0.7,0.35,1.82345,0.007463882200000001,-0.9182232800000001,0.9056152326082089,0.22841256599385937,0.7688942884140787,False,False
0.7,0.4,1.8546999999999998,0.0068944368,-0.8476123200000001,0.9123356622697143,0.19994698828572255,0.7626904691103557,False,False
0.7,0.45,1.88595,0.0063249914,-0.7770013600000001,0.919156580163407,0.17313633152005992,0.7483563944146158,False,False
0.7,0.5,1.9171999999999996,0.005755546,-0.7063904000000001,0.9260802571147552,0.14829946730439014,0.7263512092321097,True,True
0.75,0.0,1.6306250000000002,0.011425,-1.4152500000000001,0.8617863895711046,0.39441582814337683,0.6139452495962507,False,False
0.75,0.05,1.66275,0.010856943499999999,-1.3445001500000002,0.8678887322195232,0.36808133368087803,0.6515172862318305,False,False
0.75,0.1,1.694875,0.010288887,-1.2737503000000001,0.8740781130356687,0.33958352850083834,0.6834954167713864,False,False
0.75,0.15,1.7269999999999999,0.0097208305,-1.2030004500000002,0.8803564075427087,0.30971517216491395,0.7088564768576607,False,False
0.75,0.2,1.7591249999999998,0.009152773999999999,-1.1322506,0.8867255455394004,0.27924862890833196,0.7267645268535307,False,False
0.75,0.25,1.79125,0.0085847175,-1.06150075,0.8931875130777441,0.2489040538388037,0.7366165679762338,False,False
0.75,0.3,1.823375,0.008016661,-0.9907509000000001,0.899744354527744,0.2193233515395141,0.7380762447425325,False,False
0.75,0.35,1.8555000000000001,0.0074486045,-0.9200010500000001,0.9063981747337831,0.1910510266880162,0.7310929072694667,False,False
0.75,0.4,1.8876249999999999,0.006880547999999999,-0.8492512000000001,0.9131511412673956,0.1645224139456713,0.7159045270153384,False,False
0.75,0.45,1.91975,0.0063124915,-0.7785013500000001,0.9200054867814963,0.14005916849644914,0.6930242320370452,False,False
0.75,0.5,1.9518749999999998,0.005744434999999999,-0.7077515000000002,0.9269635114714403,0.11787137417424845,0.6632115243527017,True,True
0.8,0.0,1.6572000000000002,0.0114,-1.4180000000000001,0.8623686214721759,0.36015196791258974,0.6234858531621512,False,False
0.8,0.05,1.6902,0.010833332400000001,-1.3471112600000001,0.8684982357457895,0.3318208414359419,0.6554979586638847,False,False
0.8,0.1,1.7232000000000003,0.0102666648,-1.2762225200000001,0.8747156109619143,0.30203678722258476,0.6808546327786478,False,False
0.8,0.15,1.7562,0.009699997200000001,-1.2053337800000004,0.8810226454905614,0.2716151626425878,0.6986753752248094,False,False
0.8,0.2,1.7892,0.0091333296,-1.1344450400000001,0.88742129285129,0.2413158363505735,0.7083275300451997,False,False
0.8,0.25,1.8222000000000003,0.008566662000000001,-1.0635563000000001,0.8939135637305466,0.21181412785082965,0.7094635596510833,False,False
0.8,0.3,1.8552000000000002,0.007999994400000002,-0.9926675600000001,0.9005015280882073,0.1836796055075162,0.7020418133389171,False,False
0.8,0.35,1.8882,0.007433326800000001,-0.9217788200000002,0.9071873173579595,0.15736330741103322,0.686329059973227,False,False
0.8,0.4,1.9212,0.006866659200000001,-0.8508900800000001,0.9139731267464417,0.133193222257747,0.6628845702629388,False,False
0.8,0.45,1.9542000000000002,0.006299991600000001,-0.7800013400000001,0.9208612176363411,0.11137724279686825,0.632527073054484,False,False
0.8,0.5,1.9872,0.005733324000000001,-0.7091126000000002,0.9278539200989864,0.09201233196950333,0.5962873079395304,True,True
0.85,0.0,1.684425,0.011375,-1.4207500000000002,0.8629552531105346,0.3254843059198792,0.628297792017831,False,False
0.85,0.05,1.7183000000000002,0.0108097213,-1.3497223700000003,0.8691123779543547,0.29582982732005797,0.6539195824609572,False,False
0.85,0.1,1.7521749999999998,0.0102444426,-1.2786947400000002,0.8753579954899577,0.2654665099826225,0.671953198696253,False,False
0.85,0.15,1.78605,0.0096791639,-1.2076671100000003,0.8816940273054715,0.23519769546500874,0.6817250457191072,False,False
0.85,0.2,1.8199249999999998,0.0091138852,-1.1366394800000001,0.8881224510301549,0.2057366096239278,0.6828647090941314,False,False
0.85,0.25,1.8538000000000001,0.0085486065,-1.0656118500000002,0.8946453023923807,0.17768261115180217,0.6753282542712293,False,False
0.85,0.3,1.887675,0.0079833278,-0.9945842200000001,0.9012646773689766,0.15150701097255792,0.6594010354484761,False,False
0.85,0.35,1.92155,0.007418049100000001,-0.9235565900000002,0.9079827344306968,0.12754827501392152,0.6356797638010837,False,False
0.85,0.4,1.9554249999999997,0.0068527703999999995,-0.8525289600000001,0.9148016968888711,0.10601567692630437,0.6050354060455263,False,False
0.85,0.45,1.9893,0.0062874917,-0.7815013300000002,0.9217238553485985,0.08699990927496057,0.5685601292444227,False,False
0.85,0.5,2.0231749999999997,0.005722212999999999,-0.7104737000000002,0.928751570274164,0.07048882350856694,0.5275027958139199,True,True
0.9,0.0,1.7123,0.011349999999999999,-1.4235000000000002,0.8635463345464032,0.29095842471844996,0.6278996662468443,False,False
0.9,0.05,1.74705,0.010786110199999999,-1.3523334800000002,0.8697312120021707,0.2606719370439767,0.6464285477905374,False,False
0.9,0.1,1.7818,0.010222220399999999,-1.2811669600000002,0.876005323021744,0.2304218525292675,0.656624140542246,False,False
