application,x_Br,z_Ge,top10_fraction,top1_fraction,mean_rank
single-junction,0.9,0.4,0.0,0.0,218.7566
single-junction,0.95,0.4,0.0,0.0,224.0007
single-junction,1.0,0.4,0.0,0.0,227.9272
single-junction,0.0,0.45,0.9978,0.1004,2.8582
single-junction,0.05,0.45,0.9865,0.0,8.0411
single-junction,0.1,0.45,0.8321,0.0,16.7606
single-junction,0.15,0.45,0.3863,0.0,30.0404
single-junction,0.2,0.45,0.0599,0.0,47.8125
single-junction,0.25,0.45,0.0011,0.0,67.7111
single-junction,0.3,0.45,0.0,0.0,86.4328
single-junction,0.35,0.45,0.0,0.0,102.5697
single-junction,0.4,0.45,0.0,0.0,116.9048
single-junction,0.45,0.45,0.0,0.0,130.3523
single-junction,0.5,0.45,0.0,0.0,143.2812
single-junction,0.55,0.45,0.0,0.0,155.8432
single-junction,0.6,0.45,0.0,0.0,168.0916
single-junction,0.65,0.45,0.0,0.0,179.9239
single-junction,0.7,0.45,0.0,0.0,191.0425
single-junction,0.75,0.45,0.0,0.0,201.1007
single-junction,0.8,0.45,0.0,0.0,209.7962
single-junction,0.85,0.45,0.0,0.0,216.9843
single-junction,0.9,0.45,0.0,0.0,222.6929
single-junction,0.95,0.45,0.0,0.0,226.9778
single-junction,1.0,0.45,0.0,0.0,229.9451
single-junction,0.0,0.5,0.9856,0.6019,3.7066
single-junction,0.05,0.5,0.9224,0.0,9.7002
single-junction,0.1,0.5,0.6995,0.0,19.7247
single-junction,0.15,0.5,0.347,0.0,34.6558
single-junction,0.2,0.5,0.0913,0.0,53.7648
single-junction,0.25,0.5,0.007,0.0,74.3574
single-junction,0.3,0.5,0.0001,0.0,93.1725
single-junction,0.35,0.5,0.0,0.0,109.3221
single-junction,0.4,0.5,0.0,0.0,123.8075
single-junction,0.45,0.5,0.0,0.0,137.438
single-junction,0.5,0.5,0.0,0.0,150.5419
single-junction,0.55,0.5,0.0,0.0,163.2346
single-junction,0.6,0.5,0.0,0.0,175.4782
single-junction,0.65,0.5,0.0,0.0,187.0543
single-junction,0.7,0.5,0.0,0.0,197.6576
single-junction,0.75,0.5,0.0,0.0,206.9253
single-junction,0.8,0.5,0.0,0.0,214.6993
single-junction,0.85,0.5,0.0,0.0,220.9363
single-junction,0.9,0.5,0.0,0.0,225.6826
single-junction,0.95,0.5,0.0,0.0,229.008
single-junction,1.0,0.5,0.0,0.0,231.0
tandem-top-cell,0.0,0.0,0.0,0.0,230.119
tandem-top-cell,0.05,0.0,0.0,0.0,228.6605
tandem-top-cell,0.1,0.0,0.0,0.0,226.4108
tandem-top-cell,0.15,0.0,0.0,0.0,223.3481
tandem-top-cell,0.2,0.0,0.0,0.0,219.4278
tandem-top-cell,0.25,0.0,0.0,0.0,214.6496
tandem-top-cell,0.3,0.0,0.0,0.0,208.9789
tandem-top-cell,0.35,0.0,0.0,0.0,202.427
tandem-top-cell,0.4,0.0,0.0,0.0,194.9867
tandem-top-cell,0.45,0.0,0.0,0.0,186.8274
tandem-top-cell,0.5,0.0,0.0,0.0,178.0381
tandem-top-cell,0.55,0.0,0.0,0.0,168.9009
tandem-top-cell,0.6,0.0,0.0,0.0,159.6679
tandem-top-cell,0.65,0.0,0.0,0.0,150.7366
tandem-top-cell,0.7,0.0,0.0,0.0,142.6708
tandem-top-cell,0.75,0.0,0.0,0.0,136.3333
tandem-top-cell,0.8,0.0,0.0,0.0,132.7421
tandem-top-cell,0.85,0.0,0.0,0.0,132.434
tandem-top-cell,0.9,0.0,0.0,0.0,135.6028
tandem-top-cell,0.95,0.0,0.0,0.0,142.1515
tandem-top-cell,1.0,0.0,0.0,0.0,151.6664
tandem-top-cell,0.0,0.05,0.0,0.0,226.9526
tandem-top-cell,0.05,0.05,0.0,0.0,224.2751
tandem-top-cell,0.1,0.05,0.0,0.0,220.6937
tandem-top-cell,0.15,0.05,0.0,0.0,216.2177
tandem-top-cell,0.2,0.05,0.0,0.0,210.8198
tandem-top-cell,0.25,0.05,0.0,0.0,204.4546
tandem-top-cell,0.3,0.05,0.0,0.0,197.0916
tandem-top-cell,0.35,0.05,0.0,0.0,188.749
tandem-top-cell,0.4,0.05,0.0,0.0,179.541
tandem-top-cell,0.45,0.05,0.0,0.0,169.502
tandem-top-cell,0.5,0.05,0.0,0.0,158.8939
tandem-top-cell,0.55,0.05,0.0,0.0,148.0001
tandem-top-cell,0.6,0.05,0.0,0.0,137.5141
tandem-top-cell,0.65,0.05,0.0,0.0,128.1667
tandem-top-cell,0.7,0.05,0.0,0.0,120.8716
tandem-top-cell,0.75,0.05,0.0,0.0,116.5678
tandem-top-cell,0.8,0.05,0.0,0.0,116.0184
tandem-top-cell,0.85,0.05,0.0,0.0,119.524
tandem-top-cell,0.9,0.05,0.0,0.0,127.1004
tandem-top-cell,0.95,0.05,0.0,0.0,138.1121
tandem-top-cell,1.0,0.05,0.0,0.0,151.898
tandem-top-cell,0.0,0.1,0.0,0.0,221.657
tandem-top-cell,0.05,0.1,0.0,0.0,217.6394
tandem-top-cell,0.1,0.1,0.0,0.0,212.5991
tandem-top-cell,0.15,0.1,0.0,0.0,206.5365
tandem-top-cell,0.2,0.1,0.0,0.0,199.3847
tandem-top-cell,0.25,0.1,0.0,0.0,191.0824
tandem-top-cell,0.3,0.1,0.0,0.0,181.6213
tandem-top-cell,0.35,0.1,0.0,0.0,171.0084
tandem-top-cell,0.4,0.1,0.0,0.0,159.3543
tandem-top-cell,0.45,0.1,0.0,0.0,146.9368
tandem-top-cell,0.5,0.1,0.0,0.0,134.4351
tandem-top-cell,0.55,0.1,0.0,0.0,122.6539
tandem-top-cell,0.6,0.1,0.0,0.0,112.4551
tandem-top-cell,0.65,0.1,0.0,0.0,104.6292
tandem-top-cell,0.7,0.1,0.0,0.0,99.9879
tandem-top-cell,0.75,0.1,0.0,0.0,99.2091
tandem-top-cell,0.8,0.1,0.0,0.0,102.714
tandem-top-cell,0.85,0.1,0.0,0.0,110.7768
tandem-top-cell,0.9,0.1,0.0,0.0,122.9206
tandem-top-cell,0.95,0.1,0.0,0.0,138.3892
tandem-top-cell,1.0,0.1,0.0,0.0,155.8213
tandem-top-cell,0.0,0.15,0.0,0.0,214.1472
tandem-top-cell,0.05,0.15,0.0,0.0,208.5946
tandem-top-cell,0.1,0.15,0.0,0.0,201.8454
tandem-top-cell,0.15,0.15,0.0,0.0,193.8339
tandem-top-cell,0.2,0.15,0.0,0.0,184.4972
tandem-top-cell,0.25,0.15,0.0,0.0,173.6726
