x_Br,z_Ge,composition,P_top1_descriptor_stress,P_top10_descriptor_stress,mean_rank_descriptor_stress
0.2,0.4,CsSn0.60Ge0.40(I0.80Br0.20)3,0.0,0.0118,42.6296
0.25,0.4,CsSn0.60Ge0.40(I0.75Br0.25)3,0.0,0.0,61.7508
0.3,0.4,CsSn0.60Ge0.40(I0.70Br0.30)3,0.0,0.0,80.2246
0.35,0.4,CsSn0.60Ge0.40(I0.65Br0.35)3,0.0,0.0,96.1964
0.4,0.4,CsSn0.60Ge0.40(I0.60Br0.40)3,0.0,0.0,110.2846
0.45,0.4,CsSn0.60Ge0.40(I0.55Br0.45)3,0.0,0.0,123.4378
0.5,0.4,CsSn0.60Ge0.40(I0.50Br0.50)3,0.0,0.0,136.079
0.55,0.4,CsSn0.60Ge0.40(I0.45Br0.55)3,0.0,0.0,148.376
0.6,0.4,CsSn0.60Ge0.40(I0.40Br0.60)3,0.0,0.0,160.457
0.65,0.4,CsSn0.60Ge0.40(I0.35Br0.65)3,0.0,0.0,172.3024
0.7,0.4,CsSn0.60Ge0.40(I0.30Br0.70)3,0.0,0.0,183.719
0.75,0.4,CsSn0.60Ge0.40(I0.25Br0.75)3,0.0,0.0,194.449
0.8,0.4,CsSn0.60Ge0.40(I0.20Br0.80)3,0.0,0.0,203.9918
0.85,0.4,CsSn0.60Ge0.40(I0.15Br0.85)3,0.0,0.0,212.1172
0.9,0.4,CsSn0.60Ge0.40(I0.10Br0.90)3,0.0,0.0,218.767
0.95,0.4,CsSn0.60Ge0.40(I0.05Br0.95)3,0.0,0.0,223.9974
1.0,0.4,CsSn0.60Ge0.40(I0.00Br1.00)3,0.0,0.0,227.9272
0.0,0.45,CsSn0.55Ge0.45I3,0.1318,1.0,2.0794
0.05,0.45,CsSn0.55Ge0.45(I0.95Br0.05)3,0.0,0.9996,7.1106
0.1,0.45,CsSn0.55Ge0.45(I0.90Br0.10)3,0.0,0.892,15.8888
0.15,0.45,CsSn0.55Ge0.45(I0.85Br0.15)3,0.0,0.396,29.4692
0.2,0.45,CsSn0.55Ge0.45(I0.80Br0.20)3,0.0,0.0198,47.7728
0.25,0.45,CsSn0.55Ge0.45(I0.75Br0.25)3,0.0,0.0,68.0332
0.3,0.45,CsSn0.55Ge0.45(I0.70Br0.30)3,0.0,0.0,86.748
0.35,0.45,CsSn0.55Ge0.45(I0.65Br0.35)3,0.0,0.0,102.747
0.4,0.45,CsSn0.55Ge0.45(I0.60Br0.40)3,0.0,0.0,117.0164
0.45,0.45,CsSn0.55Ge0.45(I0.55Br0.45)3,0.0,0.0,130.4362
0.5,0.45,CsSn0.55Ge0.45(I0.50Br0.50)3,0.0,0.0,143.3628
0.55,0.45,CsSn0.55Ge0.45(I0.45Br0.55)3,0.0,0.0,155.9086
